City_long,City_lat,city,pm1.0_atm,pm2.5_atm,pm10.0_atm,pressure,temperature,humidity,voc
-49.273056,-25.427778,Curitiba,0.07,0.09,0.09,,60.0,78.0,
-49.273056,-25.427778,Curitiba,0.105,0.145,0.205,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,73.34
-49.273056,-25.427778,Curitiba,0.09,0.14,0.14,,60.0,78.0,
-49.273056,-25.427778,Curitiba,0.0,0.01,0.025,,-232.0,38.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.045,,65.0,68.0,74.78
-49.273056,-25.427778,Curitiba,0.0,0.12,0.12,,60.0,78.0,
-49.273056,-25.427778,Curitiba,0.085,0.12,0.12,,-232.0,38.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,68.0,74.63
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,60.0,77.0,
-49.273056,-25.427778,Curitiba,0.0,0.025,0.115,,-232.0,38.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,75.82
-49.273056,-25.427778,Curitiba,0.03,0.07,0.07,,60.0,77.0,
-49.273056,-25.427778,Curitiba,0.09,0.105,0.16,,-232.0,38.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,74.66
-49.273056,-25.427778,Curitiba,0.015,0.035,0.045,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.045,,66.0,69.0,72.53
-49.273056,-25.427778,Curitiba,0.05,0.31,0.335,,-232.0,38.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,72.78
-49.273056,-25.427778,Curitiba,0.0,0.0,0.11,,60.0,77.0,
-49.273056,-25.427778,Curitiba,0.0,0.09,0.21,,-232.0,38.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,73.29
-49.273056,-25.427778,Curitiba,0.0,0.0,0.1,,60.0,77.0,
-49.273056,-25.427778,Curitiba,0.0,0.045,0.105,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.07,,65.0,69.0,72.67
-49.273056,-25.427778,Curitiba,0.46,0.53,0.53,,60.0,77.0,
-49.273056,-25.427778,Curitiba,0.025,0.115,0.115,,-232.0,38.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,64.0,69.0,72.6
-49.273056,-25.427778,Curitiba,0.16,0.3,0.3,,60.0,77.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.05,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,71.0,71.98
-49.273056,-25.427778,Curitiba,0.18,0.38,0.38,,60.0,77.0,
-49.273056,-25.427778,Curitiba,0.105,0.195,0.21,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,70.0,73.67
-49.273056,-25.427778,Curitiba,0.6,0.98,1.07,,60.0,77.0,
-49.273056,-25.427778,Curitiba,0.0,0.035,0.05,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,70.0,76.72
-49.273056,-25.427778,Curitiba,0.22,0.33,0.33,,60.0,76.0,
-49.273056,-25.427778,Curitiba,0.96,1.745,1.865,,-232.0,40.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,64.0,69.0,78.2
-49.273056,-25.427778,Curitiba,0.66,0.88,1.14,,60.0,76.0,
-49.273056,-25.427778,Curitiba,1.135,1.5699999999999998,1.62,,-232.0,40.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,76.52
-49.273056,-25.427778,Curitiba,1.33,1.53,2.02,,60.0,77.0,
-49.273056,-25.427778,Curitiba,1.62,2.425,2.61,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,70.0,77.69
-49.273056,-25.427778,Curitiba,1.8,2.41,2.7,,60.0,77.0,
-49.273056,-25.427778,Curitiba,1.67,2.095,2.405,,-232.0,40.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,65.0,69.0,80.97
-49.273056,-25.427778,Curitiba,2.19,2.71,2.71,,60.0,77.0,
-49.273056,-25.427778,Curitiba,1.4249999999999998,2.07,2.185,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,66.0,69.0,83.57
-49.273056,-25.427778,Curitiba,1.73,2.22,2.39,,60.0,78.0,
-49.273056,-25.427778,Curitiba,0.445,0.8,0.8,,-232.0,40.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,66.0,68.0,83.0
-49.273056,-25.427778,Curitiba,1.59,2.14,2.14,,60.0,78.0,
-49.273056,-25.427778,Curitiba,0.285,0.485,0.53,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.075,,66.0,68.0,82.68
-49.273056,-25.427778,Curitiba,0.87,1.16,1.16,,60.0,78.0,
-49.273056,-25.427778,Curitiba,0.0,0.055,0.125,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,63.0,69.0,79.41
-49.273056,-25.427778,Curitiba,1.32,1.88,2.17,,60.0,77.0,
-49.273056,-25.427778,Curitiba,0.07,0.115,0.185,,-232.0,38.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.0,,63.0,72.0,76.8
-49.273056,-25.427778,Curitiba,1.05,1.22,1.33,,60.0,77.0,
-49.273056,-25.427778,Curitiba,0.06,0.48,0.48,,-232.0,39.0,
-49.273056,-25.427778,Curitiba,0.0,0.0,0.1,,62.0,73.0,75.38
-49.273056,-25.427778,Curitiba,0.62,0.91,1.16,,60.0,77.0,
